"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"杉浦　稔大",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0
"森岡　良介",3,12,2,5,1,0,0,3,0,0,0,0,0,1,1,0,0,0,3,10,1,3,0,1,6,11,0,2,1,0,2,11,0,2,0,0,1,9,0,2,1,0,0,1,0,0,0,0,4,6,2,0,0,0
"飯原　誉士",2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,0,4,1,0,0,0,0,0,0,0,2,3,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"成瀬　善久",3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0
"石山　泰稚",0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
"今浪　隆博",5,10,1,4,1,0,3,2,0,2,0,0,0,4,0,0,0,0,1,5,2,3,1,0,0,18,4,5,1,0,0,13,2,8,3,1,2,1,1,3,1,0,1,4,1,1,0,0,0,4,0,2,0,1
"ロマン",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"バーネット",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"西田　明央",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,1,1,0,0,0,0,4,3,2,0,0,1,1,1,0,0,0,0,2,1,0,1,0,0,1,1,0,0,1,0
"新垣　渚",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
