"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"平野　恵一",0,5,1,5,0,0,2,8,4,2,0,0,1,2,1,0,1,0,1,6,0,2,0,0,1,13,2,3,0,0,0,15,2,5,1,0,1,1,0,1,0,0,2,9,1,2,0,0,0,0,0,0,0,0
"安達　了一",14,45,6,9,1,2,8,28,5,12,2,0,2,9,2,3,2,0,8,21,4,11,1,0,8,57,5,13,4,1,11,46,5,15,3,2,5,17,5,3,2,2,3,34,6,11,1,2,2,10,1,2,0,1
"糸井　嘉男",15,50,10,10,2,2,7,33,7,6,5,2,3,5,3,3,2,2,9,17,6,6,1,1,14,40,6,12,3,1,8,45,10,18,2,3,2,15,6,5,1,1,6,33,10,9,2,0,2,4,2,4,2,1
"中島　裕之",21,32,13,5,1,1,18,22,7,5,1,3,3,14,0,2,0,0,2,20,2,10,0,0,11,36,8,11,4,1,12,30,7,13,3,1,3,16,1,3,1,1,12,22,5,10,4,1,1,3,3,1,3,0
"ブランコ",14,5,0,1,0,1,4,5,2,2,0,1,3,2,0,1,0,0,2,7,1,1,0,0,11,10,4,5,0,3,8,15,5,1,1,1,2,7,1,1,0,0,5,9,4,3,0,2,2,6,0,1,0,0
"Ｔ－岡田",18,24,2,12,4,3,12,23,1,5,0,2,2,7,0,2,0,0,4,17,3,3,2,0,8,28,1,13,3,2,11,32,0,16,3,1,4,9,1,5,2,0,6,27,2,5,0,1,2,2,1,6,0,1
"小谷野　栄一",8,20,5,7,1,0,4,9,1,4,1,0,0,5,0,0,0,1,0,6,0,1,0,0,4,14,0,8,0,1,3,20,3,8,1,0,2,3,0,0,1,0,0,19,3,3,4,1,0,1,0,0,0,0
"駿太",14,28,3,6,0,0,11,14,2,7,0,0,6,8,0,1,1,0,6,22,3,9,1,1,6,28,4,16,2,0,3,24,3,9,1,1,4,10,2,0,0,0,4,16,1,2,1,0,1,8,1,4,0,0
"伊藤　光",10,16,2,8,0,0,11,12,3,6,0,0,3,4,0,4,0,0,2,13,5,7,2,0,5,21,4,7,2,0,6,23,4,9,3,0,2,4,3,2,1,0,6,13,2,3,0,0,1,3,1,3,0,0
"ヘルマン",11,11,1,7,0,0,7,11,3,5,0,0,2,5,1,1,1,0,6,13,2,7,1,0,1,18,5,7,1,0,4,19,6,2,1,1,1,11,3,6,1,0,4,8,0,7,2,0,1,7,0,0,1,0
"田中　大輔",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"坂口　智隆",5,3,3,2,0,0,1,7,1,2,2,0,1,3,0,1,0,0,0,5,0,5,0,0,1,13,1,1,0,1,2,11,0,2,2,0,0,2,2,0,1,0,4,6,2,0,1,0,0,0,0,0,0,0
"中村　一生",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,0,2,0,0,0,5,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0
"山崎　勝己",4,6,1,3,0,0,2,8,2,6,0,0,0,2,0,0,0,0,1,7,0,3,0,0,7,11,0,4,0,0,5,18,0,3,4,0,2,5,2,1,0,0,4,12,3,1,0,0,0,4,0,1,0,0
"原　拓也",5,5,1,1,1,0,6,8,1,2,0,0,4,2,0,3,0,0,3,9,0,3,0,0,4,12,3,3,0,2,3,17,2,1,0,0,1,2,0,1,0,0,3,7,0,3,0,0,0,6,0,0,0,0
"西野　真弘",9,6,3,4,1,0,4,15,2,4,0,1,2,2,1,1,1,0,1,7,0,8,0,0,3,16,3,1,3,0,6,22,2,12,0,1,0,8,0,5,0,0,0,12,1,5,2,1,0,5,1,1,0,0
"竹原　直隆",6,2,3,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,7,0,1,2,1,1,10,2,1,1,0,1,1,2,1,0,0,1,8,0,3,1,1,0,2,0,1,0,0
"カラバイヨ",12,9,1,2,0,0,8,6,4,5,2,1,5,5,2,1,0,0,8,11,0,2,0,0,7,11,2,3,1,4,10,24,3,6,4,2,3,5,2,3,0,0,3,16,3,3,0,1,1,4,0,1,0,0
"川端　崇義",7,14,0,5,0,0,1,9,0,3,1,0,1,3,0,2,0,0,0,6,1,2,0,0,2,7,0,1,0,0,1,15,0,6,1,0,0,5,1,0,0,0,1,9,1,3,1,0,1,5,1,1,1,0
"小島　脩平",2,3,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,4,0,5,1,0,2,8,1,0,0,0,1,2,0,0,0,0,1,5,0,1,0,0,1,1,0,0,0,0
"縞田　拓弥",8,12,2,2,2,0,1,8,1,4,1,0,1,2,0,0,0,0,5,9,1,1,2,0,3,5,1,1,2,1,5,14,1,6,2,0,1,10,1,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0
"山本　和作",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"伏見　寅威",2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"鉄平",0,2,0,1,0,0,0,3,0,0,1,0,1,2,0,0,0,0,1,2,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"吉田　一将",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"松葉　貴大",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"東明　大貴",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ディクソン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"堤　裕貴",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"山﨑　福也",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"金子　千尋",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"西　勇輝",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"宮﨑　祐樹",6,15,2,6,0,0,4,5,0,6,0,0,1,3,0,1,1,0,0,4,0,1,1,0,5,9,4,3,0,0,5,7,0,5,1,0,1,6,2,1,1,0,0,13,2,2,0,0,1,0,1,0,0,0
"谷　佳知",0,6,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"岩﨑　恭平",5,12,1,1,0,1,2,6,2,3,0,0,1,4,1,1,0,0,3,5,1,2,0,0,0,9,2,4,1,1,5,6,0,4,0,1,1,0,0,2,0,0,3,1,1,4,0,0,0,0,0,0,0,0
"小田　裕也",2,2,0,2,0,0,2,7,1,2,0,1,2,1,0,0,0,0,2,5,1,1,0,0,7,4,0,6,3,0,4,6,0,4,0,0,0,1,0,0,0,0,1,3,0,5,2,0,2,3,0,1,0,1
"武田　健吾",1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"若月　健矢",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
"本多　雄一",3,6,3,2,0,0,6,8,1,5,2,0,6,4,0,2,1,0,1,7,2,2,1,0,8,31,2,7,1,0,2,9,1,4,1,0,0,2,0,1,1,0,5,11,0,5,0,0,0,0,0,0,0,0
"中村　晃",7,35,7,12,3,0,6,17,8,7,2,0,4,10,4,5,0,0,3,19,5,4,0,0,5,78,15,33,9,0,7,49,11,25,2,0,1,8,1,6,0,0,4,43,3,12,4,0,2,7,1,2,2,0
"柳田　悠岐",19,18,7,8,6,4,8,14,6,4,1,2,5,11,6,6,1,2,9,17,5,7,1,0,21,64,18,31,9,7,13,34,19,21,6,9,4,5,3,3,0,0,9,24,14,12,4,4,1,5,3,4,1,1
"内川　聖一",11,30,7,11,3,0,9,18,1,9,3,0,5,20,1,6,0,1,4,18,3,8,1,0,15,75,12,27,7,3,3,66,11,25,5,2,0,10,0,4,0,1,3,37,2,10,4,1,1,8,2,2,1,1
"李　大浩",18,21,9,12,1,1,9,14,7,4,2,6,9,16,1,6,0,2,6,16,5,5,3,4,22,69,11,16,8,6,19,49,6,18,5,6,3,8,6,2,2,0,11,25,6,7,4,3,1,6,3,3,1,0
"長谷川　勇也",4,5,3,1,0,1,4,1,0,0,0,1,2,6,2,0,0,0,0,0,1,1,0,1,10,12,2,9,0,0,2,6,1,1,0,2,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0
"松田　宣浩",19,30,4,11,3,5,16,6,6,10,0,1,11,10,1,6,2,1,8,18,5,6,0,1,26,64,15,22,6,8,26,48,8,12,2,8,5,7,2,1,3,0,6,25,7,12,2,4,1,6,2,1,2,2
"鶴岡　慎也",1,4,1,0,0,0,2,4,1,3,0,0,2,6,0,0,1,0,4,8,1,3,0,0,5,32,0,6,0,0,2,11,1,2,1,1,0,3,0,0,0,0,1,9,2,2,2,0,0,0,0,1,0,0
"今宮　健太",12,15,10,5,2,1,6,18,2,2,1,0,6,13,0,4,2,0,3,18,1,6,2,0,13,80,6,19,5,2,22,44,3,18,2,2,4,7,1,1,0,0,7,28,5,5,2,1,2,7,0,1,0,0
"明石　健志",9,23,5,11,2,0,8,10,0,5,0,0,5,15,0,5,0,0,6,11,2,8,1,0,16,49,7,17,2,1,5,33,6,10,4,2,1,4,3,0,1,0,4,20,2,7,2,0,1,2,0,2,0,0
"斐紹",0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"吉村　裕基",9,13,1,4,1,0,4,3,2,2,2,0,4,3,1,2,0,0,0,5,0,1,0,1,6,11,4,0,2,0,5,14,3,7,1,1,1,1,1,1,0,0,2,6,2,0,0,0,1,0,0,1,0,0
"髙田　知季",9,10,1,4,0,0,2,2,1,0,1,0,3,6,3,2,0,0,2,7,0,3,0,0,9,19,1,8,0,0,6,15,2,6,2,0,2,2,1,2,0,0,3,6,1,2,0,0,3,0,1,1,0,1
"髙谷　裕亮",5,9,2,1,0,0,3,6,0,0,0,0,2,5,0,2,0,0,2,4,0,0,1,0,8,27,3,2,2,0,5,22,1,10,0,0,1,3,0,2,0,0,0,12,2,1,2,1,1,7,0,0,1,0
"牧原　大成",0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,5,0,1,0,0,0,7,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0
"塚田　正義",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"金子　圭輔",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"細山田　武史",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"川島　慶三",5,9,1,4,1,0,0,2,0,0,0,0,2,5,0,1,0,0,0,4,1,0,2,0,6,15,5,5,1,0,4,16,5,9,3,0,5,2,0,1,1,0,1,9,0,8,1,1,0,0,1,1,0,0
"江川　智晃",2,2,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,3,1,1,1,0,1,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"福田　秀平",4,14,3,5,0,1,1,5,1,0,0,0,5,5,1,0,1,0,1,5,0,0,0,0,6,16,2,6,8,0,2,19,3,6,2,0,0,3,0,1,0,0,6,14,0,3,0,0,1,2,1,2,1,0
"上林　誠知",3,1,0,1,0,0,2,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,5,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大隣　憲司",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"中田　賢一",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
"武田　翔太",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"細川　亨",3,4,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,3,6,1,1,1,0,9,14,1,3,0,0,10,10,4,0,2,0,1,2,0,0,0,0,4,4,1,1,2,0,0,2,0,0,0,0
"攝津　正",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"二保　旭",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"スタンリッジ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"寺原　隼人",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"猪本　健太郎",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"カニザレス",0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,4,0,1,0,2,0,2,1,0,0,0,0,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0
"松中　信彦",2,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"聖澤　諒",13,20,3,8,1,0,5,14,4,3,0,0,6,6,0,3,3,0,8,10,0,3,2,0,13,28,8,15,3,0,10,16,0,4,0,0,2,8,1,1,0,0,6,11,3,6,3,0,2,1,0,0,2,0
"ウィーラー",10,16,4,7,3,2,10,16,1,9,0,3,6,5,1,5,1,0,3,22,1,6,0,0,9,30,5,9,3,3,4,10,8,2,0,1,3,7,2,1,1,0,8,11,2,1,2,2,2,4,0,0,1,0
"銀次",4,28,5,10,0,0,5,22,3,9,3,1,0,7,0,4,1,0,1,19,2,7,1,0,2,46,4,17,4,0,3,19,5,8,1,0,0,5,5,2,0,0,0,26,1,12,0,0,0,4,0,2,0,0
"ペーニャ",22,24,8,10,3,0,17,13,10,5,1,1,7,12,2,5,0,0,4,26,2,7,3,1,19,40,17,17,4,5,10,25,5,5,5,3,5,7,3,3,2,2,9,16,7,8,0,0,6,2,3,1,0,2
"サンチェス",11,16,4,5,3,0,6,12,0,2,1,2,1,4,0,1,1,0,5,9,4,1,2,1,5,20,6,9,3,2,5,19,3,1,0,0,1,4,0,1,0,0,4,12,3,1,1,0,0,2,0,0,0,0
"松井　稼頭央",15,41,9,13,3,1,11,28,6,8,2,3,5,15,3,6,1,0,9,25,3,6,0,1,10,50,10,24,1,2,10,34,2,10,4,1,7,6,1,4,0,0,4,16,1,4,4,1,4,14,1,0,0,0
"後藤　光尊",14,31,0,8,1,1,7,20,2,10,2,0,3,13,0,2,0,0,6,23,0,9,1,0,3,59,3,20,2,2,3,45,2,6,5,2,2,8,2,4,1,1,4,22,1,3,3,2,3,8,1,1,1,1
"嶋　基宏",15,27,9,8,1,0,9,19,5,10,0,0,4,14,2,1,0,0,4,14,3,0,0,0,14,49,7,15,0,2,5,20,10,9,2,1,1,15,2,3,0,0,10,10,2,2,1,1,1,7,4,2,1,0
"藤田　一也",8,38,5,5,0,1,4,24,1,9,0,0,2,12,0,4,0,1,4,18,2,7,4,0,4,50,5,16,6,0,3,41,6,7,1,1,0,12,1,9,1,0,2,25,2,11,1,1,1,8,1,4,2,0
"岡島　豪郎",2,8,2,2,2,0,4,8,3,5,1,0,0,1,0,2,1,0,0,9,0,0,0,0,4,24,3,3,1,1,0,8,0,2,1,0,0,4,0,0,0,0,2,17,1,1,1,0,1,2,0,0,0,0
"福田　将儀",13,6,1,6,0,0,9,6,1,1,1,0,0,4,1,0,0,0,2,11,3,0,0,0,4,14,4,8,1,0,4,17,1,7,1,1,1,4,0,0,0,0,5,15,0,2,1,0,1,5,1,1,0,0
"牧田　明久",3,9,1,4,3,0,3,7,2,5,1,0,2,6,0,2,1,0,0,5,2,4,0,1,1,23,4,7,0,0,2,12,1,5,0,0,0,6,1,3,0,0,2,3,1,1,0,0,0,4,1,1,0,0
"山﨑　浩司",3,7,0,0,0,0,1,6,0,3,1,0,0,3,0,0,0,0,0,1,0,0,0,0,4,12,0,3,0,0,1,13,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0
"伊志嶺　忠",8,3,2,0,2,0,4,5,2,4,1,0,0,8,1,1,1,0,8,8,0,3,0,0,7,10,2,3,1,1,2,8,2,2,0,0,2,4,0,2,0,0,2,8,2,4,0,1,1,6,0,2,0,0
"阿部　俊人",5,6,1,1,0,0,1,7,0,0,0,0,0,4,0,5,0,0,2,4,0,0,0,0,5,24,0,3,2,0,1,5,0,0,0,0,3,2,0,2,0,0,1,5,1,1,1,0,1,0,0,1,0,0
"森山　周",0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"小関　翔太",4,5,1,0,0,0,1,2,0,1,0,1,0,3,0,0,0,0,1,3,0,3,0,0,4,16,0,3,1,0,0,5,2,0,0,0,0,2,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0
"榎本　葵",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0
"フェルナンド",2,6,1,1,0,0,2,2,0,1,0,0,2,2,0,2,0,0,3,1,0,2,0,0,8,8,1,1,1,0,3,6,1,2,1,0,1,6,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"西田　哲朗",13,13,3,1,2,0,8,13,2,2,1,0,1,3,0,4,1,0,0,9,0,3,1,0,4,19,4,9,2,1,3,10,0,1,0,0,2,3,0,1,0,0,3,2,0,5,0,0,2,5,0,0,0,0
"枡田　慎太郎",6,6,4,3,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,3,5,1,3,0,0,7,7,1,2,1,0,0,1,0,0,0,0,3,6,3,1,2,0,2,3,0,0,0,0
"中川　大志",13,7,1,1,1,0,7,8,2,1,1,0,5,4,2,1,0,0,11,7,0,1,0,1,11,21,1,2,2,1,6,18,3,5,0,2,0,1,1,4,0,1,2,3,0,5,0,0,2,4,1,1,1,0
"岩﨑　達郎",4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,5,0,2,1,0,3,3,1,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"西村　弥",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"塩見　貴洋",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"美馬　学",2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"菊池　保則",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"辛島　航",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"レイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"則本　昂大",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"三好　匠",1,2,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,0,1,4,0,1,0,0,4,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"伊東　亮大",1,3,0,1,0,1,2,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"島内　宏明",0,9,0,1,0,0,1,9,1,2,1,0,1,4,0,1,0,0,0,4,0,0,1,0,1,16,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,5,0,1,2,0,1,1,0,1,1,0
"小斉　祐輔",1,2,1,1,0,0,8,4,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,3,7,2,2,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"小山　桂司",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"北川　倫太郎",6,4,0,1,0,0,4,11,1,4,0,0,0,3,0,0,0,0,3,4,0,0,0,0,2,8,0,3,3,0,0,3,1,1,0,0,0,1,0,0,0,0,1,3,2,2,0,0,0,0,0,1,0,0
"ムリーロ",0,5,2,2,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,2,1,1,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
